"";"DOY";"Hour";"Lake_Height";"Discharge_in";"Discharge_out";"schiffen_discharge"
"95";"4";"22";429,118;17,871;16,8825;0
"96";"4";"23";429,118863636364;16,5163181818182;17,1082727272727;0
"97";"5";"0";429,1195;15,2955454545455;16,8069545454545;0
"98";"5";"1";429,120181818182;14,3928636363636;17,0760454545455;0
"99";"5";"2";429,120545454545;13,7923181818182;17,3466363636364;0
"100";"5";"3";429,120772727273;13,4893181818182;17,3643636363636;0
"101";"5";"4";429,120727272727;13,5578181818182;17,3747727272727;0
"102";"5";"5";429,120681818182;13,9844090909091;17,8849545454545;0
"103";"5";"6";429,120954545455;14,0505454545455;17,7704090909091;0
"104";"5";"7";429,121272727273;13,5951363636364;17,7523636363636;0
"105";"5";"8";429,121545454545;13,0712727272727;17,7548181818182;100
"106";"5";"9";429,121772727273;12,6228181818182;17,6634090909091;100
"107";"5";"10";429,122;12,3429545454545;17,7423181818182;100
"108";"5";"11";429,122090909091;12,1344545454545;17,6093636363636;100
"109";"5";"12";429,122409090909;11,9380909090909;17,7507727272727;100
"110";"5";"13";429,1225;11,7209545454545;17,5768636363636;100
"111";"5";"14";429,122409090909;11,5588181818182;17,0425;100
"112";"5";"15";429,122545454545;11,5003181818182;16,2561363636364;100
"113";"5";"16";429,1225;11,6245;16,327;0
"114";"5";"17";429,122590909091;11,9252272727273;16,5758181818182;0
"115";"5";"18";429,122409090909;12,2464090909091;16,8962727272727;0
"116";"5";"19";429,122318181818;12,5910909090909;16,8197272727273;0
"117";"5";"20";429,122454545455;12,9909545454545;16,0489545454545;0
"118";"5";"21";429,122772727273;13,9190454545455;15,6844545454545;0
"119";"5";"22";429,122954545455;14,6756363636364;16,2707272727273;0
"120";"5";"23";429,123409090909;14,5531818181818;15,9670909090909;0
"121";"6";"0";429,124;13,9752727272727;15,5938636363636;0
"122";"6";"1";429,124681818182;13,3937272727273;15,7211363636364;0
"123";"6";"2";429,125136363636;13,0337272727273;16,0660454545455;0
"124";"6";"3";429,125318181818;13,027;16,3307727272727;0
"125";"6";"4";429,125636363636;13,5033181818182;15,7662727272727;0
"126";"6";"5";429,131238095238;14,6799047619048;17,0280952380952;0
"127";"6";"6";429,126090909091;14,5868181818182;17,2902727272727;0
"128";"6";"7";429,126318181818;15,3140909090909;17,7827272727273;0
"129";"6";"8";429,126363636364;16,2619090909091;18,3129545454545;100
"130";"6";"9";429,126681818182;17,2595909090909;18,3896363636364;100
"131";"6";"10";429,127318181818;17,8241818181818;18,9523636363636;100
"132";"6";"11";429,13319047619;18,9702857142857;19,4321428571429;100
"133";"6";"12";429,128545454545;18,1574090909091;18,5766818181818;100
"134";"6";"13";429,130904761905;18,4034761904762;19,0627619047619;100
"135";"6";"14";429,131761904762;18,0161904761905;19,1629523809524;100
"136";"6";"15";429,132571428571;17,653;19,1693333333333;100
"137";"6";"16";429,133428571429;17,3284285714286;19,104619047619;0
"138";"6";"17";429,134142857143;16,9425714285714;19,0855714285714;0
"139";"6";"18";429,134904761905;16,4362380952381;18,5634761904762;0
"140";"6";"19";429,135666666667;15,9304285714286;18,5497142857143;0
"141";"6";"20";429,13619047619;15,4562380952381;19,0175714285714;0
"142";"6";"21";429,136857142857;15,002;18,9113333333333;0
"143";"6";"22";429,137285714286;14,514380952381;18,9604761904762;0
"144";"6";"23";429,137666666667;14,002;18,7767142857143;0
"145";"7";"0";429,137904761905;13,4645714285714;18,506619047619;0
"146";"7";"1";429,137904761905;12,974380952381;18,4361428571429;0
"147";"7";"2";429,137523809524;12,5358095238095;18,6880476190476;0
"148";"7";"3";429,137571428571;12,1551428571429;18,9075714285714;0
"149";"7";"4";429,137333333333;11,8555238095238;18,9838571428571;0
"150";"7";"5";429,137142857143;11,649619047619;19,0061428571429;0
"151";"7";"6";429,137;11,5217619047619;19,0278095238095;0
"152";"7";"7";429,136428571429;11,385619047619;18,9040952380952;0
"153";"7";"8";429,136047619048;11,3002857142857;18,9039523809524;100
"154";"7";"9";429,13580952381;11,2987142857143;18,6279047619048;100
"155";"7";"10";429,135619047619;11,3715714285714;17,838619047619;100
"156";"7";"11";429,135619047619;11,5058571428571;17,467;100
"157";"7";"12";429,135714285714;11,8330476190476;17,0417619047619;100
"158";"7";"13";429,135666666667;12,267380952381;16,688;100
"159";"7";"14";429,135666666667;12,3724761904762;16,511380952381;100
"160";"7";"15";429,135761904762;12,2694761904762;16,564;100
"161";"7";"16";429,135857142857;12,0748095238095;16,2611428571429;0
"162";"7";"17";429,136;11,7834285714286;15,9759047619048;0
"163";"7";"18";429,136;11,5880476190476;15,8406666666667;0
"164";"7";"19";429,136047619048;11,7111428571429;16,3614285714286;0
"165";"7";"20";429,13619047619;11,852;16,0256666666667;0
"166";"7";"21";429,136;11,7665238095238;16,1875714285714;0
"167";"7";"22";429,13580952381;11,5791904761905;16,1925714285714;0
"168";"7";"23";429,135761904762;11,3411428571429;16,3038095238095;0
"169";"8";"0";429,1417;11,55015;17,3538;0
"170";"8";"1";429,1414;11,29675;17,42415;0
"171";"8";"2";429,135142857143;10,6488095238095;17,0044285714286;0
"172";"8";"3";429,1409;10,8643;18,1385;0
"173";"8";"4";429,1405;10,67335;17,7262;0
"174";"8";"5";429,134571428571;10,0844761904762;16,7734761904762;0
"175";"8";"6";429,14005;10,3159;17,23175;0
"176";"8";"7";429,1395;10,2128;17,1505;0
"177";"8";"8";429,13925;10,1091;16,79785;100
"178";"8";"9";429,13875;10,011;16,52175;100
"179";"8";"10";429,1383;9,9619;16,43815;100
"180";"8";"11";429,1379;9,96775;15,94215;100
"181";"8";"12";429,1379;9,99635;15,1941;100
"182";"8";"13";429,1376;10,04425;14,5499;100
"183";"8";"14";429,132380952381;9,70166666666667;13,9874761904762;100
"184";"8";"15";429,132476190476;9,69219047619048;13,8534285714286;100
"185";"8";"16";429,132523809524;9,67066666666667;14,5100952380952;0
"186";"8";"17";429,132428571429;9,65552380952381;15,2398095238095;0
"187";"8";"18";429,132380952381;9,64042857142857;15,4034285714286;0
"188";"8";"19";429,132333333333;9,66180952380952;14,926;0
"189";"8";"20";429,13219047619;9,69128571428571;14,4669047619048;0
"190";"8";"21";429,132142857143;9,73261904761905;14,5380952380952;0
"191";"8";"22";429,132095238095;9,7517619047619;14,821;0
"192";"8";"23";429,132142857143;9,71742857142857;14,3184285714286;0
"193";"9";"0";429,132380952381;9,6932380952381;14,0207619047619;0
"194";"9";"1";429,13775;10,08575;15,00975;0
"195";"9";"2";429,13775;10,0332;15,7344;0
"196";"9";"3";429,13755;10,05945;16,0659;0
"197";"9";"4";429,1375;10,13315;16,19435;0
"198";"9";"5";429,1375;10,34285;16,0245;0
"199";"9";"6";429,132238095238;10,2650952380952;15,4812857142857;0
"200";"9";"7";429,132047619048;10,9109523809524;15,5674761904762;0
"201";"9";"8";429,132333333333;11,758619047619;15,3745714285714;100
"202";"9";"9";429,132523809524;12,3071428571429;15,126619047619;100
"203";"9";"10";429,132666666667;12,6197142857143;14,9887142857143;100
"204";"9";"11";429,132952380952;12,7879523809524;15,4897619047619;100
"205";"9";"12";429,133238095238;12,9083333333333;15,507380952381;100
"206";"9";"13";429,133619047619;12,9384285714286;15,4638095238095;100
"207";"9";"14";429,133857142857;12,8550476190476;15,6907142857143;100
"208";"9";"15";429,134285714286;12,7696666666667;15,3980476190476;100
"209";"9";"16";429,134666666667;12,4508095238095;15,6398095238095;0
"210";"9";"17";429,13519047619;11,9912380952381;15,6791428571429;0
"211";"9";"18";429,135238095238;11,489619047619;15,6373333333333;0
"212";"9";"19";429,135428571429;11,060380952381;15,6879523809524;0
"213";"9";"20";429,135428571429;10,8424285714286;16,243380952381;0
