"";"year";"maxDO";"anoxDOY"
"1";2002;12,214824;203
"2";2003;12,5115258333333;225
"3";2004;11,9870913333333;224
"4";2005;12,433456875;195
"5";2006;13,5095358333333;228
"6";2007;11,0358844444444;193
"7";2008;13,0871663636364;192
"8";2009;13,0847654545455;203
"9";2010;12,4579571428571;195
"10";2011;11,6490473583333;168
"11";2012;14,8706072727273;229
"12";2013;13,0995188888889;233
"13";2014;10,535;232
"14";2015;12,4462058823529;224
"15";2016;12,05365;223
"16";2017;11,8228;228
