year;River;type;water_discharge_m3s;PO4_mgl;Ptot_mgl
2004;Petite-Glane;inflow;0.831;57.00;79.00
2005;Petite-Glane;inflow;0.545;62.00;107.00
2006;Petite-Glane;inflow;1.119;96.00;232.00
2007;Petite-Glane;inflow;1.160;97.00;119.00
2008;Petite-Glane;inflow;0.982;39.00;69.00
1987;STEP;inflow;0.080;NA;440.00
1988;STEP;inflow;0.072;NA;310.00
1989;STEP;inflow;0.056;NA;550.00
1990;STEP;inflow;0.071;NA;400.00
1991;STEP;inflow;0.068;205.00;479.00
1992;STEP;inflow;0.073;255.00;500.00
1993;STEP;inflow;0.070;284.00;618.00
1994;STEP;inflow;0.079;180.00;451.00
1995;STEP;inflow;0.086;153.00;317.00
1996;STEP;inflow;0.065;88.00;284.00
1997;STEP;inflow;0.067;296.00;586.00
1998;STEP;inflow;0.071;151.00;406.00
1999;STEP;inflow;0.087;207.00;674.00
2000;STEP;inflow;0.060;140.00;316.00
2001;STEP;inflow;0.075;230.00;421.00
2002;STEP;inflow;0.066;213.00;395.00
2003;STEP;inflow;0.052;268.00;434.00
2004;STEP;inflow;0.055;289.00;423.00
2005;STEP;inflow;0.051;344.00;490.00
2006;STEP;inflow;0.063;216.00;326.00
2007;STEP;inflow;0.058;273.00;421.00
2008;STEP;inflow;0.054;307.00;447.00
